n  spin_accpt	Ecalc	 Mabs_calc
6571	1834	-798.890884	399.718764
6581	1864	-798.822671	399.699438
6591	1828	-798.925201	399.722045
6601	1900	-798.881382	399.714892
6611	1964	-798.846771	399.703222
6621	1872	-798.872074	399.713336
6631	1891	-798.890665	399.718293
6641	1842	-798.913417	399.723837
6651	1988	-798.881371	399.715231
6661	1912	-798.804984	399.69464
6671	1928	-798.850547	399.706791
6681	2006	-798.80018	399.694956
6691	1936	-798.848603	399.707368
6701	1932	-798.885539	399.714371
6711	1946	-798.908657	399.721651
6721	2004	-798.810891	399.696176
6731	1964	-798.860199	399.707919
6741	1974	-798.847649	399.706572
6751	1964	-798.833951	399.701378
6761	2060	-798.781245	399.688508
6771	1900	-798.944912	399.730911
6781	2007	-798.807256	399.69444
6791	1910	-798.900898	399.721101
6801	1870	-798.907808	399.722688
6811	2082	-798.746733	399.680223
6821	1822	-799.009529	399.750183
6831	1922	-798.896794	399.718343
6841	1983	-798.849876	399.706183
6851	2056	-798.8463	399.705444
6861	1891	-798.94476	399.732692
6871	2092	-798.810071	399.696987
6881	1986	-798.855399	399.706729
6891	2050	-798.747352	399.678711
6901	2040	-798.849442	399.707868
6911	2028	-798.785704	399.690928
6921	1976	-798.82098	399.697732
6931	2056	-798.870581	399.711441
6941	2030	-798.824377	399.698026
6951	2037	-798.844483	399.70364
6961	2018	-798.820284	399.700043
6971	1994	-798.924688	399.726008
6981	1972	-798.839135	399.702908
6991	2102	-798.832785	399.703047
7001	1986	-798.86759	399.710613
7011	2104	-798.832691	399.703323
7021	2016	-798.804159	399.691782
7031	2006	-798.945811	399.732044
7041	1946	-798.898452	399.720778
7051	2050	-798.877322	399.712665
7061	2074	-798.849455	399.706274
7071	1995	-798.870315	399.712063
7081	2086	-798.810902	399.695523
7091	1944	-798.947398	399.731209
7101	2149	-798.862695	399.710745
7111	2068	-798.869357	399.711433
7121	2200	-798.801854	399.694425
7131	2064	-798.921329	399.7229
7141	2193	-798.820333	399.699202
